S.No,Store Name,Address,Pincode,City,State,Phone,Store Page URL
1,"Pizza Hut - Arundelpet, Guntur","Sali Pet, Arundelpet, Guntur, Andhra Pradesh, India",522002,Guntur,Andhra Pradesh,086556 89176,https://restaurants.pizzahut.co.in/pizza-hut-arundalapet-pizzerias-arundelpet-guntur-267589/Home
2,"Pizza Hut - Phoenix Mall, Guntur","Ground Floor, Phonix Mall, Srinivasarao Pet, Beside Cine Prime, Guntur, Andhra Pradesh, India",522003,Guntur,Andhra Pradesh,098993 06036,https://restaurants.pizzahut.co.in/pizza-hut-ph-phonix-mall-guntur-pizzerias-srinivasarao-pet-guntur-294182/Home
3,"Pizza Hut - SRMT Mall, Kakinada","No 4/21, 82 East, SRMT Mall & Multiplex, Pithapuram Kakinada Road, Ramanayyapeta, Near Lalitha Nagar, Kakinada, Andhra Pradesh, India",533005,Kakinada,Andhra Pradesh,098991 90331,https://restaurants.pizzahut.co.in/pizza-hut-ramanayyapeta-pizza-delivery-ramanayyapeta-kakinada-81399/Home
4,"Pizza Hut - Eluru Road, Vijaywada","Machavaram, Eluru Rd, Chuttugunta, Opposite BSNL Bhavan, Krishna, Andhra Pradesh, India",520004,Krishna,Andhra Pradesh,089290 34930,https://restaurants.pizzahut.co.in/pizza-hut-ph-eluru-road-vijayawada-pizzerias-chuttugunta-krishna-197660/Home
5,"Pizza Hut - TGV City Square Mall, Kurnool","D No 40/37M, Sy 177 & 192, 4A, TGV Mall, River View Colony, Bhagya Nagar, Kurnool, Andhra Pradesh, India",518004,Kurnool,Andhra Pradesh,089296 47617,https://restaurants.pizzahut.co.in/pizza-hut-ph-tgv-city-square-mall-kurnool-pizza-restaurant-bhagya-nagar-kurnool-110474/Home
6,"Pizza Hut - MGB Felicity Mall, Nellore","No 15 & 23, Gr Flr, MGB Felicity Mall, No FO/4 & FO/5, WN 24, GT Rd, Ambedkar Ngr, Dargamitta, Nellore, Andhra Pradesh, India",524003,Nellore,Andhra Pradesh,095820 34054,https://restaurants.pizzahut.co.in/pizza-hut-ambedkar-ngr-pizza-restaurant-ambedkar-ngr-nellore-105240/Home
7,"Pizza Hut - Minibypass, Nellore","Jitendra Towers, Minibypass, Ramamurthy Nagar, Nellore, Andhra Pradesh, India",524001,Nellore,Andhra Pradesh,098734 08784,https://restaurants.pizzahut.co.in/pizza-hut-ph-mini-bypass-nellore-pizzerias-ramamurthy-nagar-nellore-252695/Home
8,"Pizza Hut - Ravi Priya Mall, Ongole","119/1A, SN FC1, Ravi Priya Mall, Gr Flr, Guntur Road, Prakasam, Prakasam, Andhra Pradesh, India",523262,Prakasam,Andhra Pradesh,098992 40597,https://restaurants.pizzahut.co.in/pizza-hut-prakasam-pizza-delivery-prakasam-prakasam-36111/Home
9,"Pizza Hut - SS Mall, Proddatur","Ground Floor, SSS Mall, No 7/834, Korrapadu Road, YMR Colony, Proddatur, Andhra Pradesh, India",516360,Proddatur,Andhra Pradesh,089296 47573,https://restaurants.pizzahut.co.in/pizza-hut-ph-ss-mall-prodattur-pizza-restaurant-korrapadu-road-proddatur-110315/Home
10,"Pizza Hut - Gandhi Puram, Rajahmundry","House No 78/9/11/2, Gandhi Puram 3, Behind Priyanka Gardens, Rajahmundry, Andhra Pradesh, India",533103,Rajahmundry,Andhra Pradesh,086556 89175,https://restaurants.pizzahut.co.in/pizza-hut-gandhi-puram-3-pizza-restaurant-gandhi-puram-3-rajahmundry-105236/Home
