S.No,Store Name,Address,Pincode,Google Pincode,Pincode Match,City,State,Phone,Store Page URL,Place ID,Lat,Long,Google Name,Google Address,Google Lat,Google Long,Business Status,Lookup
1,"Pizza Hut - Arundelpet, Guntur","Sali Pet, Arundelpet, Guntur, Andhra Pradesh, India",522002,522002,Yes,Guntur,Andhra Pradesh,086556 89176,https://restaurants.pizzahut.co.in/pizza-hut-arundalapet-pizzerias-arundelpet-guntur-267589/Home,ChIJSXnduWd1SjoRcbChOtr-238,16.304721,80.444475,"Pizza Hut | Arundelpet, Guntur","Sali Pet, Arundelpet, Guntur, Andhra Pradesh 522002, India",16.304721,80.444475,OPERATIONAL,place_id
2,"Pizza Hut - Phoenix Mall, Guntur","Ground Floor, Phonix Mall, Srinivasarao Pet, Beside Cine Prime, Guntur, Andhra Pradesh, India",522003,522004,No,Guntur,Andhra Pradesh,098993 06036,https://restaurants.pizzahut.co.in/pizza-hut-ph-phonix-mall-guntur-pizzerias-srinivasarao-pet-guntur-294182/Home,ChIJGfdGIoZ1SjoRVlN4zeI_JG8,16.2917209,80.436801,"Pizza Hut | Phoenix Mall, Guntur","Ground Floor, Phonix Mall, beside Cine Prime, Srinivasarao Pet, Guntur, Andhra Pradesh 522004, India",16.2917209,80.436801,OPERATIONAL,place_id
3,"Pizza Hut - SRMT Mall, Kakinada","No 4/21, 82 East, SRMT Mall & Multiplex, Pithapuram Kakinada Road, Ramanayyapeta, Near Lalitha Nagar, Kakinada, Andhra Pradesh, India",533005,533005,Yes,Kakinada,Andhra Pradesh,098991 90331,https://restaurants.pizzahut.co.in/pizza-hut-ramanayyapeta-pizza-delivery-ramanayyapeta-kakinada-81399/Home,ChIJ0VJr9h8pODoRxb2u63KBsYQ,16.9979867,82.2435489,"Pizza Hut | SRMT Mall, Kakinada","82° EAST SRMT Mall & Multiplex, Pithapuram - Kakinada Rd, Ramanayapeta, Ramanayyapeta, Andhra Pradesh 533005, India",16.9979867,82.2435489,OPERATIONAL,place_id
4,"Pizza Hut - Eluru Road, Vijaywada","Machavaram, Eluru Rd, Chuttugunta, Opposite BSNL Bhavan, Krishna, Andhra Pradesh, India",520004,520004,Yes,Krishna,Andhra Pradesh,089290 34930,https://restaurants.pizzahut.co.in/pizza-hut-ph-eluru-road-vijayawada-pizzerias-chuttugunta-krishna-197660/Home,ChIJF2GqMIXlNToRkv1F11Dm53g,16.5172804,80.6438398,"Pizza Hut | Eluru Road, Vijaywada","GJ8V+WHQ, Eluru Rd, opposite BSNL Bhavan, Chuttugunta, Sitharamapuram, Machavaram, Vijayawada, Andhra Pradesh 520004, India",16.5172804,80.6438398,OPERATIONAL,place_id
5,"Pizza Hut - TGV City Square Mall, Kurnool","D No 40/37M, Sy 177 & 192, 4A, TGV Mall, River View Colony, Bhagya Nagar, Kurnool, Andhra Pradesh, India",518004,518004,Yes,Kurnool,Andhra Pradesh,089296 47617,https://restaurants.pizzahut.co.in/pizza-hut-ph-tgv-city-square-mall-kurnool-pizza-restaurant-bhagya-nagar-kurnool-110474/Home,ChIJ1RRPPMPntTsR1W9gTz0PDbo,15.826952,78.035242,"Pizza Hut | TGV City Square Mall, Kurnool","D No 40/37M, Sy 177 & 192, 4A, TGV Mall, Bhagya Nagar, River View Colony, Kurnool, Andhra Pradesh 518004, India",15.826952,78.035242,OPERATIONAL,place_id
6,"Pizza Hut - MGB Felicity Mall, Nellore","No 15 & 23, Gr Flr, MGB Felicity Mall, No FO/4 & FO/5, WN 24, GT Rd, Ambedkar Ngr, Dargamitta, Nellore, Andhra Pradesh, India",524003,524003,Yes,Nellore,Andhra Pradesh,095820 34054,https://restaurants.pizzahut.co.in/pizza-hut-ambedkar-ngr-pizza-restaurant-ambedkar-ngr-nellore-105240/Home,ChIJHZ-cLwzzTDoR9WRPRslkJEQ,14.4322992,79.9670702,"Pizza Hut | MGB Felicity Mall, Nellore","No 15 & 23, Gr Flr, MGB Felicity Mall No FO/4 & FO/5, WN 24, GT Rd, Ambedkar Ngr, Dargamitta, Nellore, Andhra Pradesh 524003, India",14.4322992,79.9670702,OPERATIONAL,place_id
7,"Pizza Hut - Minibypass, Nellore","Jitendra Towers, Minibypass, Ramamurthy Nagar, Nellore, Andhra Pradesh, India",524001,524002,No,Nellore,Andhra Pradesh,098734 08784,https://restaurants.pizzahut.co.in/pizza-hut-ph-mini-bypass-nellore-pizzerias-ramamurthy-nagar-nellore-252695/Home,ChIJhTTFhviNTDoRavVIxQhrzrI,14.4489232,79.9883407,"Pizza Hut | Minibypass, Nellore","Jitendra Towers, Mini Bypass Road, Srinivasa Agraharam, Ramamurthy Nagar, Nellore, Andhra Pradesh 524002, India",14.4489232,79.9883407,OPERATIONAL,place_id
8,"Pizza Hut - Ravi Priya Mall, Ongole","119/1A, SN FC1, Ravi Priya Mall, Gr Flr, Guntur Road, Prakasam, Prakasam, Andhra Pradesh, India",523262,523001,No,Prakasam,Andhra Pradesh,098992 40597,https://restaurants.pizzahut.co.in/pizza-hut-prakasam-pizza-delivery-prakasam-prakasam-36111/Home,ChIJ_bNG3DIBSzoRuu6gARC1vzA,15.5198422,80.0472141,"Pizza Hut | Ravi Priya Mall, Ongole","119/1A, SN FC1, Ravi Priya Mall, Gr Flr, Guntur Rd, Gopal Nagar, Ongole, Andhra Pradesh 523001, India",15.5198422,80.04721409999999,OPERATIONAL,place_id
9,"Pizza Hut - SS Mall, Proddatur","Ground Floor, SSS Mall, No 7/834, Korrapadu Road, YMR Colony, Proddatur, Andhra Pradesh, India",516360,516360,Yes,Proddatur,Andhra Pradesh,089296 47573,https://restaurants.pizzahut.co.in/pizza-hut-ph-ss-mall-prodattur-pizza-restaurant-korrapadu-road-proddatur-110315/Home,ChIJOU4gc0l5tDsR60qHaYvMEho,14.755683,78.5566205,"Pizza Hut | SS Mall, Proddatur","Ground Floor, SSS Mall, No 7/834, Korrapadu Rd, YMR Colony, Proddatur, Andhra Pradesh 516360, India",14.755683,78.5566205,OPERATIONAL,place_id
10,"Pizza Hut - Gandhi Puram, Rajahmundry","House No 78/9/11/2, Gandhi Puram 3, Behind Priyanka Gardens, Rajahmundry, Andhra Pradesh, India",533103,533103,Yes,Rajahmundry,Andhra Pradesh,086556 89175,https://restaurants.pizzahut.co.in/pizza-hut-gandhi-puram-3-pizza-restaurant-gandhi-puram-3-rajahmundry-105236/Home,ChIJn0WVIh2jNzoRY4o8qUrbYkU,17.005112,81.787878,"Pizza Hut | Gandhi Puram, Rajahmundry","House No 78, 9/11/2, behind Priyanka Gardens, Gandhi Puram 3, Gorakshanapeta, Rajamahendravaram, Andhra Pradesh 533103, India",17.005112,81.78787799999999,OPERATIONAL,place_id
